prediction;test_price
21.32;22.46
21.75;22.31
22.56;22.47
22.05;23.73
22.07;23.54
23.01;23.42
23.02;23.35
23.38;22.92
23.42;23.22
22.98;22.24
23.03;22.6
22.33;22.7
22.27;22.38
22.65;22.46
22.62;23.63
22.13;23.41
22.84;22.93
23.13;23.22
23.13;23.25
22.91;22.9
23.24;22.22
22.97;22.31
22.2;22.56
22.28;22.92
22.3;23.72
22.62;23.73
23.43;23.79
23.38;23.91
23.45;23.92
23.8;23.77
23.65;23.06
23.66;22.74
23.31;22.49
22.71;22.53
22.72;22.93
22.32;23.27
22.79;23.86
23.25;25.11
23.65;25.16
24.67;24.86
24.79;25.05
24.58;25.12
24.98;25.2
25.01;25.18
24.67;24.79
25.01;25.13
24.7;24.86
24.93;24.77
25.02;24.46
25.0;25.0
24.5;24.74
24.99;24.31
24.87;24.23
24.69;24.09
24.29;24.5
24.24;24.95
24.29;24.94
24.38;25.39
24.76;25.36
25.21;25.36
25.11;25.16
25.27;25.6
25.3;25.88
25.47;26.03
25.86;26.45
25.81;25.99
25.99;25.88
25.78;26.07
25.5;25.58
25.44;25.37
25.22;24.94
25.25;24.12
24.9;24.92
24.39;24.23
24.81;24.27
24.39;24.46
24.03;24.82
24.4;25.68
24.71;25.29
25.29;25.68
25.34;25.78
25.54;25.93
25.73;25.72
25.8;26.95
25.77;27.18
26.56;27.33
27.23;27.16
27.46;26.75
27.39;26.57
26.89;26.99
26.8;26.77
26.94;27.1
26.8;26.87
27.08;26.76
27.13;27.21
27.09;27.26
27.38;26.86
27.52;27.31
27.34;27.45
27.5;27.17
27.72;27.18
27.55;28.03
27.5;28.39
28.19;28.51
28.53;28.82
28.55;29.05
29.01;28.6
29.35;28.62
29.09;29.02
28.86;28.94
28.96;29.05
29.32;28.92
29.13;28.58
29.07;29.0
28.85;28.91
29.11;28.88
29.15;28.72
29.19;28.65
29.02;28.5
29.16;28.51
29.02;28.55
28.85;28.09
28.62;27.6
28.47;28.03
28.04;27.78
28.25;27.41
28.12;27.77
27.8;27.94
27.87;27.42
28.07;26.85
27.84;26.8
27.58;26.57
27.39;26.26
26.97;26.29
26.58;26.47
26.49;26.44
26.77;26.85
26.7;27.54
26.96;26.57
27.5;26.46
26.79;26.4
26.63;26.73
26.62;26.9
26.6;27.01
26.78;26.93
26.76;27.29
26.8;27.64
26.99;27.78
27.37;27.97
27.53;27.87
27.78;27.69
27.8;28.11
27.71;28.09
27.68;27.98
27.93;28.25
27.94;28.55
27.95;28.34
28.13;29.17
28.03;29.75
28.57;29.73
29.2;29.83
29.39;29.85
29.39;30.28
29.33;30.17
29.61;30.2
29.84;30.23
29.91;30.23
29.9;30.26
29.91;30.13
29.73;30.41
29.71;30.46
29.96;30.8
30.24;31.43
30.51;31.63
30.99;31.49
31.34;31.44
31.28;31.27
31.14;31.84
31.02;31.54
31.14;31.77
30.96;31.63
31.04;31.95
31.06;32.44
31.49;32.15
31.97;32.1
31.97;32.42
32.01;32.6
32.03;32.09
32.15;32.4
31.95;32.73
32.07;32.75
32.17;32.94
32.35;32.95
32.59;33.18
32.84;32.53
33.07;32.5
32.81;33.34
32.66;33.0
32.93;33.64
32.82;32.77
33.25;31.65
32.71;30.46
31.68;29.92
30.65;31.61
30.01;32.03
31.0;31.46
31.81;31.12
31.7;30.51
31.52;30.63
30.84;30.21
30.76;29.91
30.52;28.65
30.16;29.44
29.33;29.09
29.41;28.95
29.05;29.62
28.99;30.78
29.41;29.93
30.35;29.85
29.89;31.12
29.64;31.09
30.29;30.17
30.5;29.59
30.1;29.69
29.63;29.5
29.47;30.55
29.28;30.67
29.98;30.39
30.15;31.34
30.09;31.16
30.81;31.41
30.87;31.48
31.07;31.4
31.0;30.77
31.24;30.76
30.7;30.09
30.48;29.99
30.11;29.75
29.97;28.93
29.54;28.21
28.99;28.2
28.3;28.11
28.16;28.41
28.21;29.68
28.49;29.86
29.3;30.23
29.66;30.25
30.04;30.86
29.99;30.67
